institute_name,program_name,tests_accepted,test_cutoff,city_name,program_duration,country_name,program_duration_text,final_placements_domestic_salary_avg,specialization_name,state_name,tution_fees_local_country_student
indian institute of management ahmedabad,post graduate program in management,CAT,1:80 | ,ahmedabad,2,India,2 Years,2583000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy",gujarat,1699000
faculty of management studies,master of business administration,CAT,1:98.54      | ,new delhi,2,India,2 Years,2560000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",delhi,200000
indian institute of management calcutta,post graduate diploma in management,CAT,1:85  | ,kolkata,2,India,2 Years,2540000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy",west bengal,2000000
indian institute of management bangalore,post graduate program in management,CAT,1:99      | ,bangalore,2,India,2 Years,2454000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy",karnataka,2300000
indian institute of management lucknow,post graduate program in management,CAT,1:99     | ,lucknow,2,India,2 Years,2425000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Media & Communication, Sustainability \/ Environment",uttar pradesh,720000
indian institute of management kozhikode,post graduate program,CAT,1:98      | ,kozhikode,2,India,2 Years,2308000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy",kerala,1900000
s.p. jain institute of management and research,post graduate diploma in management,"CAT, XAT, GMAT",1:85 | 2:85 | 5:85 %  | ,mumbai,2,India,2 Years,2290000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",maharashtra,1750000
s.p. jain institute of management and research,post graduate program in management,"CAT, XAT, GMAT",1:85          | 2:85          | 5:650          | ,mumbai,1,India,1 Year,2224000,General Management,maharashtra,1960000
management development institute,post graduate program in management,CAT,1:96    | ,gurgaon,2,India,2 Years,2205000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics, International Business",haryana,1600000
iit bombay shailesh j.mehta school of management,master of business administration,CAT,1:90 | ,mumbai,2,India,2 Years,2080000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics, International Business",maharashtra,982000
indian institute of management indore,post graduate program in management,CAT,1:98   | ,indore,2,India,2 Years,2079000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Media & Communication",madhya pradesh,1610000
management development institute,post graduate program in international management,CAT,1:NA   | ,gurgaon,2,India,2 Years,2013000,International Business,haryana,2200000
national institute of industrial engineering,post graduate diploma in industrial management,CAT,1:97       | ,mumbai,2,India,2 Years,1977000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Strategy, Business Analytics",maharashtra,870000
indian institute of management bangalore,post graduate program in public policy & management,"CAT, GMAT, GRE",1:NA      | 5:NA      | 6:NA      | ,bangalore,1,India,1 Year,1964000,General Management,karnataka,1650000
management development institute,post graduate diploma in human resource management,CAT,1:NA    | ,gurgaon,2,India,2 Years,1935000,Human Resources,haryana,1600000
indian institute of technology delhi,master of business administration,CAT,1:98 | ,new delhi,2,India,2 Years,1847000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics, Others",delhi,960000
iit kharagpur vinod gupta school of management,master of business administration,CAT,1:95    | ,kharagpur,2,India,2 Years,1742000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",west bengal,1052000
indian institute of management shillong,post graduate program for executives (pgpexecutive -mbic),"CAT, GMAT",1:NA       | 5:NA       | ,shillong,1,India,1 Year,1740000,General Management,meghalaya,1875000
indian institute of management shillong,post graduate program in management,CAT,1:97     | ,shillong,2,India,2 Years,1679000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics, Sustainability \/ Environment",meghalaya,1300000
jamnalal bajaj institute of management studies,msc finance,"CAT, MH-CET, Others",1:95 | 7:95 | 10:NA  | ,mumbai,2,India,2 Years,1645000,Finance,maharashtra,204000
indian institute of science,master of management,"CAT, GMAT, Others",1:95.5    | 5:650    | 10:NA    | ,bangalore,2,India,2 Years,1600000,"Information Technology, Business Analytics",karnataka,333000
indian institute of management ahmedabad,post graduate program in food and agri-business management,CAT,1:NA     | ,ahmedabad,2,India,2 Years,1590000,Agri \/ Food \/ Rural Business,gujarat,2250500
management development institute,executive post graduate diploma in management,"CAT, GMAT, Others",1:NA     | 5:NA     | 10:NA     | ,gurgaon,1,India,1 Year,1520000,General Management,haryana,1100000
indian institute of management ranchi,post graduate diploma in management,CAT,1:94 | ,ranchi,2,India,2 Years,1502000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, General Management, Strategy, Business Analytics",jharkhand,1010000
chetan dattaji gaikwad institute of management studies,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,1500000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, Hospitality \/ Tourism, Agri \/ Food \/ Rural Business, International Business, Retail Management, Media & Communication, Digital Media, Entrepreneurship & Family Business",maharashtra,146000
dhole patil college of engineering,master of business administration,"CAT, MAT, MH-CET, Others",1:NA | 4:NA | 7:NA | 10:NA | ,pune,2,India,2 Years,1500000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",maharashtra,48000
indian institute of management tiruchirappalli,post graduate program in management,CAT,1:95   | ,trichy,2,India,2 Years,1491000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",tamil nadu,1400000
indian institute of management raipur,post graduate program in management,CAT,1:90 | ,raipur,2,India,2 Years,1453503,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy",chattisgarh,1379600
